Original_Reward,PPO_Reward
-454.0,-71.0
-500.0,-89.0
-500.0,-120.0
-411.0,-88.0
-219.0,-61.0
-500.0,-88.0
-294.0,-61.0
-168.0,-95.0
-195.0,-63.0
-257.0,-173.0
-170.0,-77.0
-298.0,-70.0
-254.0,-76.0
-185.0,-63.0
-313.0,-76.0
-225.0,-63.0
-152.0,-69.0
-348.0,-76.0
-446.0,-70.0
-500.0,-69.0
-195.0,-71.0
-302.0,-92.0
-433.0,-77.0
-190.0,-84.0
-238.0,-63.0
-259.0,-62.0
-325.0,-75.0
-244.0,-81.0
-435.0,-70.0
-254.0,-70.0
-376.0,-84.0
-330.0,-200.0
-417.0,-85.0
-454.0,-161.0
-244.0,-87.0
-236.0,-76.0
-350.0,-82.0
-245.0,-70.0
-323.0,-165.0
-185.0,-63.0
-243.0,-75.0
-350.0,-62.0
-155.0,-88.0
-424.0,-85.0
-336.0,-83.0
-500.0,-70.0
-228.0,-79.0
-307.0,-61.0
-233.0,-70.0
-500.0,-103.0
-276.0,-87.0
-362.0,-69.0
-246.0,-69.0
-476.0,-92.0
-395.0,-75.0
-290.0,-83.0
-390.0,-151.0
-432.0,-100.0
-229.0,-75.0
-500.0,-77.0
-353.0,-110.0
-500.0,-500.0
-358.0,-86.0
-351.0,-84.0
-243.0,-75.0
-235.0,-69.0
-299.0,-118.0
-322.0,-90.0
-231.0,-62.0
-500.0,-85.0
-500.0,-97.0
-279.0,-75.0
-313.0,-74.0
-378.0,-89.0
-372.0,-63.0
-240.0,-91.0
-300.0,-71.0
-364.0,-85.0
-177.0,-82.0
-371.0,-85.0
-382.0,-78.0
-278.0,-76.0
-500.0,-62.0
-287.0,-94.0
-500.0,-82.0
-304.0,-104.0
-313.0,-91.0
-500.0,-79.0
-397.0,-63.0
-416.0,-78.0
-500.0,-141.0
-202.0,-71.0
-369.0,-75.0
-359.0,-113.0
-280.0,-75.0
-500.0,-82.0
-365.0,-75.0
-500.0,-129.0
-360.0,-62.0
-260.0,-97.0
-392.0,-82.0
-399.0,-85.0
-245.0,-85.0
-347.0,-75.0
-312.0,-87.0
-350.0,-61.0
-406.0,-94.0
-278.0,-70.0
-342.0,-137.0
-251.0,-76.0
-226.0,-109.0
-500.0,-70.0
-180.0,-70.0
-207.0,-77.0
-500.0,-150.0
-266.0,-98.0
-250.0,-63.0
-368.0,-105.0
-215.0,-71.0
-194.0,-75.0
-334.0,-71.0
-349.0,-108.0
-500.0,-138.0
-500.0,-68.0
-249.0,-63.0
-500.0,-82.0
-500.0,-125.0
-500.0,-88.0
-270.0,-167.0
-461.0,-70.0
-235.0,-76.0
-390.0,-79.0
-357.0,-102.0
-185.0,-71.0
-330.0,-63.0
-441.0,-92.0
-254.0,-70.0
-255.0,-79.0
-213.0,-70.0
-455.0,-97.0
-267.0,-84.0
-318.0,-69.0
-318.0,-71.0
-308.0,-71.0
-278.0,-70.0
-500.0,-87.0
-397.0,-78.0
-306.0,-85.0
-255.0,-79.0
-500.0,-61.0
-337.0,-86.0
-268.0,-70.0
-329.0,-80.0
-359.0,-63.0
-265.0,-70.0
-331.0,-70.0
-287.0,-77.0
-403.0,-70.0
-488.0,-135.0
-203.0,-92.0
-500.0,-71.0
-203.0,-71.0
-304.0,-119.0
-500.0,-68.0
-378.0,-81.0
-233.0,-84.0
-224.0,-76.0
-167.0,-86.0
-298.0,-88.0
-271.0,-61.0
-251.0,-62.0
-388.0,-75.0
-500.0,-97.0
-349.0,-83.0
-500.0,-70.0
-353.0,-95.0
-348.0,-127.0
-312.0,-75.0
-500.0,-82.0
-257.0,-71.0
-410.0,-72.0
-201.0,-74.0
-366.0,-63.0
-500.0,-92.0
-500.0,-76.0
-400.0,-70.0
-500.0,-100.0
-327.0,-75.0
-281.0,-75.0
-249.0,-62.0
-500.0,-75.0
-389.0,-76.0
-351.0,-68.0
-500.0,-63.0
-215.0,-70.0
-237.0,-89.0
-180.0,-101.0
-474.0,-77.0
-500.0,-86.0
-198.0,-63.0
-283.0,-70.0
-190.0,-92.0
-434.0,-78.0
-358.0,-94.0
-319.0,-68.0
-406.0,-62.0
-369.0,-70.0
-493.0,-70.0
-500.0,-69.0
-265.0,-122.0
-182.0,-89.0
-423.0,-80.0
-403.0,-70.0
-332.0,-78.0
-289.0,-70.0
-313.0,-75.0
-266.0,-91.0
-500.0,-76.0
-267.0,-84.0
-285.0,-70.0
-247.0,-70.0
-452.0,-77.0
-405.0,-78.0
-303.0,-70.0
-251.0,-81.0
-500.0,-87.0
-397.0,-75.0
-314.0,-88.0
-468.0,-93.0
-189.0,-93.0
-170.0,-71.0
-251.0,-261.0
-325.0,-71.0
-268.0,-75.0
-485.0,-88.0
-330.0,-85.0
-309.0,-161.0
-262.0,-71.0
-213.0,-70.0
-215.0,-79.0
-251.0,-82.0
-368.0,-76.0
-248.0,-70.0
-338.0,-76.0
-259.0,-70.0
-500.0,-75.0
-367.0,-83.0
-450.0,-62.0
-348.0,-70.0
